text,intent,sentiment
Could you clarify one point? Could you explain how ZENDS supports virtual machines under Cloud & Data Center Services? I use ZENDStorage 1TB in USA. Please let me know.,Technical,Neutral
I would like to understand this better. Can you confirm whether the billing policy for ZENDArchive Storage in Singapore changes for enterprise customers? Please let me know.,Billing,Neutral
I would like to understand this better. I am within 7 days of starting Postpaid Silver in USA and my usage is below 10%. Can I request a full refund? Kindly confirm.,Refund,Neutral
"I would like to understand this better. I need clarification about cloud networking, which ZENDS lists under Cloud & Data Center Services. I use ZENDCloud VM Pro. Kindly confirm.",Technical,Neutral
I appreciate the clarification so far. I am trying to use monitoring listed under Cloud & Data Center Services while using ZENDCloud VM Basic in USA. Which steps should I follow? Could you confirm that for me?,Technical,Happy
I would like to understand this better. What should I expect if payment for my ZENDStorage 10TB service in USA is more than 7 days late?,Billing,Neutral
I would like to understand this better. My ZENDCloud VM Basic cloud service is already activated. Is it non-refundable after activation even if I am within 7 days? Please let me know.,Refund,Neutral
"I appreciate that this is being reviewed, but I am dissatisfied with how the priority troubleshooting issue on my ZENDBiz Connect 1G account has been handled. I need a proper resolution. I would appreciate a quick confirmation.",Complaint,Happy
I need a clear billing answer today. The listed price for ZENDEnterprise Ultra is $224 for an enterprise customer in Thailand. When is that charge billed?,Billing,Angry
"I am glad I checked this in advance. I need clarification about international roaming, which ZENDS lists under Mobile Connectivity. I use Postpaid Silver. Could you confirm that for me?",Technical,Happy
I appreciate the clarification so far. I need to understand the invoice process for my enterprise ZENDEnterprise Dedicated service in USA. I would appreciate a quick confirmation.,Billing,Happy
Could you confirm the 7-day and under-10%-usage conditions for a full refund on Prepaid Basic?,Refund,Neutral
This has happened again. I need to raise a complaint because real-time data processing for ZENDFleet IoT in USA has not been resolved. Please respond clearly.,Complaint,Angry
I need an answer about refund eligibility today. Please clarify the refund rule before I make a decision about my ZENDEnterprise Dedicated service in Thailand. Please respond clearly.,Refund,Angry
I appreciate the clarification so far. Could you explain how ZENDS supports SLA-backed uptime under Business Connectivity? I use ZENDBiz Connect 1G in USA. Could you confirm that for me?,Technical,Happy
This is blocking my work. Can you help me use setup guidance listed under Home & Office Internet? My product is ZENDOffice Net 200 in USA.,Technical,Angry
I would like to understand this better. What help is available for dedicated enterprise support under Cloud & Data Center Services for an enterprise customer using ZENDArchive Storage? Kindly confirm.,Technical,Neutral
I would like to understand this better. I need to raise a complaint because voicemail for Prepaid Unlimited in USA has not been resolved.,Complaint,Neutral
"I appreciate the clarification so far. Before choosing ZENDFiber Home 100 Mbps, could you explain what is included and the $24 price for an individual customer in Thailand? I would appreciate a quick confirmation.",Product Inquiry,Happy
Can you help me use network monitoring listed under Home & Office Internet? My product is ZENDFiber Home 300 Mbps in India. Please let me know.,Technical,Neutral
"I would like to understand this better. What should an individual customer in Thailand know about ZENDFiber Home 100 Mbps, a 100 Mbps home broadband? Kindly confirm.",Product Inquiry,Neutral
This has been helpful so far. I am considering ZENDBiz Connect 500 in Thailand. What does this business connectivity plan offer to an individual customer? I would appreciate a quick confirmation.,Product Inquiry,Happy
I appreciate the clarification so far. Can you confirm that ZENDArchive Storage costs $30 for an individual customer in India?,Product Inquiry,Happy
That sounds promising. Where can I find the billing details for an individual customer paying $60 for ZENDSmart Traffic in India? Could you confirm that for me?,Billing,Happy
Could you clarify one point? I need to understand the invoice process for my enterprise ZENDCloud VM Basic service in India.,Billing,Neutral
I am glad I checked this in advance. I need to understand the invoice process for my individual ZENDOffice Net 500 service in India. Could you confirm that for me?,Billing,Happy
This billing matter needs to be resolved. Can you confirm whether the billing policy for ZENDSmart Lighting in India changes for enterprise customers?,Billing,Angry
Could you clarify one point? Is there any refund option for an activated ZENDStorage 1TB cloud service in India? Please let me know.,Refund,Neutral
That sounds promising. I want to understand the refund window for ZENDIndustrial Sensor; is the usage threshold below 10%?,Refund,Happy
Could you clarify one point? I need to raise a complaint because router and WiFi equipment for ZENDFiber Home 300 Mbps in USA has not been resolved.,Complaint,Neutral
I have been waiting for a clear answer. I am dissatisfied with how the mobile app management issue on my Prepaid Basic account has been handled. I need a proper resolution. I need this resolved promptly.,Complaint,Angry
I want to choose between ZENDOffice Net 1G and ZENDFiber Home 1 Gbps. What do their listed prices in USA show for an enterprise customer?,Product Inquiry,Neutral
I use ZENDSmart Lighting in Singapore. What should I check first when I need help with real-time data processing listed under IoT & Smart Solutions? Kindly confirm.,Technical,Neutral
"I would like to understand this better. What is the product information for ZENDEnterprise Dedicated, including its dedicated enterprise connectivity plan and listed price in USA? Kindly confirm.",Product Inquiry,Neutral
I need a clear billing answer today. What should I expect if payment for my ZENDEnterprise Ultra service in USA is more than 7 days late?,Billing,Angry
I appreciate the clarification so far. I need to check refund eligibility for ZENDStorage 1TB: I am still within 7 days and usage is under 10%. I would appreciate a quick confirmation.,Refund,Happy
I am pleased with the guidance so far. I want to understand the refund window for ZENDCloud VM Enterprise; is the usage threshold below 10%?,Refund,Happy
Good to know. Could you describe ZENDFiber Home 1 Gbps and confirm whether $56 is its listed price in Thailand? Could you confirm that for me?,Product Inquiry,Happy
"I have already tried to get an answer. I have contacted support more than once about dedicated enterprise support for ZENDCloud VM Pro in India, but it remains unresolved. How can I escalate this? Please respond clearly.",Complaint,Angry
I would like to understand this better. I have had to report the plan upgrades issue on my Postpaid Gold account repeatedly. Please provide an escalation option. Kindly confirm.,Complaint,Neutral
"I need a clear product answer before I decide. Before choosing ZENDBiz Connect 500, could you explain what is included and the $60 price for an enterprise customer in India? I need this resolved promptly.",Product Inquiry,Angry
Good to know. Could you explain why ZENDS bills ZENDFiber Home 100 Mbps in advance each month for customers in Singapore?,Billing,Happy
I need an answer about refund eligibility today. Could you confirm the 7-day and under-10%-usage conditions for a full refund on Postpaid Gold? I need this resolved promptly.,Refund,Angry
Could you clarify one point? Does ZENDS list dedicated enterprise support under Cloud & Data Center Services? I am considering ZENDStorage 1TB as an enterprise customer in Thailand.,Product Inquiry,Neutral
I am pleased with the guidance so far. I want to choose between ZENDSmart Parking and ZENDSmart Lighting. What do their listed prices in Singapore show for an individual customer? I would appreciate a quick confirmation.,Product Inquiry,Happy
"I am pleased with the guidance so far. For an individual customer in India, how do the listed prices of ZENDEnterprise Ultra ($180) and ZENDBiz Connect 1G ($120) differ?",Product Inquiry,Happy
"I would like to understand this better. What should an individual customer in Singapore know about ZENDCloud VM Pro, a cloud virtual machine?",Product Inquiry,Neutral
"I need this technical issue handled promptly. I need clarification about device management, which ZENDS lists under IoT & Smart Solutions. I use ZENDIndustrial Sensor. I need this resolved promptly.",Technical,Angry
"I need this technical issue handled promptly. Can you point me to the ZENDS support process for customer support, which is listed under Mobile Connectivity? I use Prepaid Unlimited.",Technical,Angry
Could you clarify one point? I want this 24/7 technical support problem with ZENDFiber Home 300 Mbps formally addressed because earlier support did not resolve it.,Complaint,Neutral
Please clarify the refund rule before I make a decision about my Postpaid Gold service in Singapore. Kindly confirm.,Refund,Neutral
The repeated cloud networking issue on ZENDStorage 10TB is affecting my experience. I need a clear resolution from ZENDS.,Complaint,Neutral
"Can you point me to the ZENDS support process for network monitoring, which is listed under Home & Office Internet? I use ZENDOffice Net 1G. Please let me know.",Technical,Neutral
Is the $61 amount for ZENDOffice Net 200 in Singapore part of the monthly advance billing cycle? Please let me know.,Billing,Neutral
I need a clear decision about my refund request. What information is relevant when requesting a refund for an enterprise ZENDBiz Connect 100 service in India? Please respond clearly.,Refund,Angry
"I would like to understand this better. Before choosing ZENDFiber Home 300 Mbps, could you explain what is included and the $27 price for an enterprise customer in India? Kindly confirm.",Product Inquiry,Neutral
I should not have to keep asking about this. My enterprise ZENDSmart Parking service in India still has an unresolved reporting dashboards concern after support contact. I need this resolved promptly.,Complaint,Angry
I appreciate the clarification so far. Could you explain why ZENDS bills ZENDArchive Storage in advance each month for customers in India? Could you confirm that for me?,Billing,Happy
This has happened again. The problem with reporting dashboards on my individual ZENDSmart Traffic account keeps recurring. I need a formal resolution.,Complaint,Angry
"Could you clarify one point? What should an individual customer in USA know about Postpaid Silver, a 50GB postpaid mobile plan? Please let me know.",Product Inquiry,Neutral
I would like to understand this better. The listed price for ZENDOffice Net 1G is $120 for an individual customer in Thailand. When is that charge billed?,Billing,Neutral
"I have already tried to get an answer. After repeated requests for help with network monitoring, my ZENDFiber Home 300 Mbps concern is still unresolved. Please escalate it.",Complaint,Angry
Could you clarify one point? The issue with troubleshooting was not resolved after prior support for my ZENDOffice Net 200 service. What is the escalation route?,Complaint,Neutral
I have been waiting for a clear answer. The problem with priority troubleshooting on my individual ZENDEnterprise Dedicated account keeps recurring. I need a formal resolution. Please respond clearly.,Complaint,Angry
This billing matter needs to be resolved. What should I expect if payment for my ZENDFleet IoT service in India is more than 7 days late? Please respond clearly.,Billing,Angry
I appreciate the clarification so far. Could you explain how ZENDS supports setup guidance under Home & Office Internet? I use ZENDOffice Net 200 in India.,Technical,Happy
"I need this product information clarified. Is ZENDSmart Parking available to an individual customer in Thailand, and what does the offering include? Please respond clearly.",Product Inquiry,Angry
I have already tried to get an answer. The repeated monitoring issue on ZENDStorage 1TB is affecting my experience. I need a clear resolution from ZENDS. Please respond clearly.,Complaint,Angry
"I appreciate that this is being reviewed, but the issue with 24/7 technical support was not resolved after prior support for my ZENDFiber Home 300 Mbps service. What is the escalation route?",Complaint,Happy
Where can an enterprise customer using Postpaid Silver in USA get technical assistance with add-on data packages under Mobile Connectivity? Kindly confirm.,Technical,Neutral
"What is the product information for ZENDSmart Parking, including its smart-city solution and listed price in USA?",Product Inquiry,Neutral
I appreciate the clarification so far. I am reviewing the $50 charge for ZENDSmart Parking in USA. Which billing rule applies to an enterprise customer? I would appreciate a quick confirmation.,Billing,Happy
Could you clarify one point? I am within 7 days of starting ZENDBiz Connect 100 in Singapore and my usage is below 10%. Can I request a full refund? Please let me know.,Refund,Neutral
I have been waiting for a clear answer. I want this router and WiFi equipment problem with ZENDOffice Net 200 formally addressed because earlier support did not resolve it. I need this resolved promptly.,Complaint,Angry
I would like to understand this better. Could you explain why ZENDS bills Prepaid Plus in advance each month for customers in Thailand? Please let me know.,Billing,Neutral
I am glad I checked this in advance. I need to understand the invoice process for my individual Postpaid Platinum service in USA. I would appreciate a quick confirmation.,Billing,Happy
Please provide these product details now. I am considering ZENDEnterprise Ultra in USA. What does this enterprise connectivity plan offer to an enterprise customer? I need this resolved promptly.,Product Inquiry,Angry
Please address this refund request promptly. I am deciding whether to keep ZENDSmart Lighting in Singapore. What does ZENDS require for a full refund?,Refund,Angry
What help is available for file storage under Cloud & Data Center Services for an enterprise customer using ZENDCloud VM Basic? Kindly confirm.,Technical,Neutral
Could you clarify one point? My ZENDOffice Net 200 invoice in India is due soon. What does the late-payment policy say after 7 days? Kindly confirm.,Billing,Neutral
I appreciate the clarification so far. I am trying to use predictive maintenance listed under IoT & Smart Solutions while using ZENDSmart Lighting in USA. Which steps should I follow? I would appreciate a quick confirmation.,Technical,Happy
I would like to understand this better. My support experience for device management on ZENDSmart Parking in Singapore has been poor. Please review this complaint.,Complaint,Neutral
I have been waiting for a clear answer. I have had to report the add-on data packages issue on my Prepaid Plus account repeatedly. Please provide an escalation option. Please respond clearly.,Complaint,Angry
Good to know. How does monthly billing in advance apply to my enterprise ZENDEnterprise Dedicated service in USA? I would appreciate a quick confirmation.,Billing,Happy
"For my Postpaid Platinum account in India, how do I get assistance with customer support listed under Mobile Connectivity? Kindly confirm.",Technical,Neutral
I am glad I checked this in advance. Could you confirm the 7-day and under-10%-usage conditions for a full refund on Prepaid Plus? I would appreciate a quick confirmation.,Refund,Happy
Could you clarify one point? I am trying to use 24/7 technical support listed under Home & Office Internet while using ZENDFiber Home 100 Mbps in USA. Which steps should I follow? Kindly confirm.,Technical,Neutral
This billing matter needs to be resolved. Could you explain why ZENDS bills ZENDBiz Connect 1G in advance each month for customers in Thailand? I need this resolved promptly.,Billing,Angry
This has been helpful so far. Does the refund policy apply to an enterprise ZENDEnterprise Ultra account when less than 10% has been used within 7 days? Could you confirm that for me?,Refund,Happy
"I would like to understand this better. I have contacted support more than once about cloud networking for ZENDStorage 1TB in USA, but it remains unresolved. How can I escalate this?",Complaint,Neutral
This has been helpful so far. My ZENDCloud VM Basic cloud service is already activated. Is it non-refundable after activation even if I am within 7 days? Could you confirm that for me?,Refund,Happy
"Before I pay for Prepaid Plus, can you clarify the monthly billing timing for an enterprise account in India? Kindly confirm.",Billing,Neutral
Good to know. I use ZENDFiber Home 300 Mbps in India. What should I check first when I need help with fiber connectivity listed under Home & Office Internet?,Technical,Happy
"I appreciate the clarification so far. For my ZENDFleet IoT account in Thailand, how do I get assistance with reporting dashboards listed under IoT & Smart Solutions?",Technical,Happy
"I would like to understand this better. Before activating ZENDCloud VM Pro, can you explain the cloud-service refund restriction after activation? Kindly confirm.",Refund,Neutral
I should not have to keep asking about this. My support experience for predictive maintenance on ZENDIndustrial Sensor in USA has been poor. Please review this complaint.,Complaint,Angry
I am glad I checked this in advance. I am setting up ZENDSmart Parking and need help with predictive maintenance under IoT & Smart Solutions. Where should I start?,Technical,Happy
Good to know. Does the refund policy apply to an enterprise ZENDCloud VM Enterprise account when less than 10% has been used within 7 days? I would appreciate a quick confirmation.,Refund,Happy
I have been waiting for a clear answer. The support provided for cloud migration support on ZENDCloud VM Enterprise did not resolve my problem. Who can formally review this? I need this resolved promptly.,Complaint,Angry
"That sounds promising. For my ZENDOffice Net 200 account in India, how do I get assistance with network monitoring listed under Home & Office Internet?",Technical,Happy
"I would like to understand this better. Before choosing ZENDFiber Home 300 Mbps, could you explain what is included and the $55 price for an individual customer in Singapore?",Product Inquiry,Neutral
"Could you clarify one point? After repeated requests for help with cloud networking, my ZENDArchive Storage concern is still unresolved. Please escalate it. Kindly confirm.",Complaint,Neutral
"Could you clarify one point? What should an individual customer in Thailand know about ZENDFiber Home 300 Mbps, a 300 Mbps home broadband?",Product Inquiry,Neutral
"That sounds promising. Can you point me to the ZENDS support process for SMS, which is listed under Mobile Connectivity? I use Prepaid Basic. Could you confirm that for me?",Technical,Happy
"Good to know. What is the product information for ZENDOffice Net 1G, including its office broadband plan and listed price in Singapore? Could you confirm that for me?",Product Inquiry,Happy
My individual ZENDStorage 10TB service in Singapore still has an unresolved file storage concern after support contact. Please let me know.,Complaint,Neutral
I need a clear billing answer today. My ZENDFiber Home 100 Mbps invoice in Singapore is due soon. What does the late-payment policy say after 7 days?,Billing,Angry
Could you clarify one point? Where can an individual customer using ZENDCloud VM Basic in India get technical assistance with backup and disaster recovery under Cloud & Data Center Services? Kindly confirm.,Technical,Neutral
I am pleased with the guidance so far. I need to understand the invoice process for my individual ZENDFiber Home 1 Gbps service in USA. Could you confirm that for me?,Billing,Happy
This is blocking my work. Could you explain how ZENDS supports dedicated enterprise support under Cloud & Data Center Services? I use ZENDCloud VM Enterprise in India. I need this resolved promptly.,Technical,Angry
I would like to understand this better. I need to check refund eligibility for ZENDBiz Connect 1G: I am still within 7 days and usage is under 10%. Please let me know.,Refund,Neutral
Good to know. What information is relevant when requesting a refund for an individual ZENDBiz Connect 1G service in Singapore? Could you confirm that for me?,Refund,Happy
Could you clarify one point? Can you confirm whether the billing policy for ZENDFiber Home 300 Mbps in USA changes for enterprise customers? Kindly confirm.,Billing,Neutral
Which ZENDS support option covers SMS listed under Mobile Connectivity for an individual customer using Postpaid Silver? Please let me know.,Technical,Neutral
"Good to know. What does ZENDCloud VM Enterprise include for an enterprise customer in Singapore, and is its listed price $143? Could you confirm that for me?",Product Inquiry,Happy
I am within 7 days of starting ZENDSmart Traffic in USA and my usage is below 10%. Can I request a full refund?,Refund,Neutral
Which ZENDS support option covers SLA-backed support for enterprise customers listed under Home & Office Internet for an enterprise customer using ZENDOffice Net 200? Please let me know.,Technical,Neutral
The listed price for ZENDEnterprise Ultra is $168 for an enterprise customer in India. When is that charge billed?,Billing,Neutral
Please address this refund request promptly. Could you confirm the 7-day and under-10%-usage conditions for a full refund on Postpaid Silver?,Refund,Angry
This billing matter needs to be resolved. What should I expect if payment for my ZENDCloud VM Basic service in USA is more than 7 days late? I need this resolved promptly.,Billing,Angry
"Could you clarify one point? Before choosing ZENDArchive Storage, could you explain what is included and the $44 price for an enterprise customer in Singapore? Kindly confirm.",Product Inquiry,Neutral
"Which services does ZENDS list under Business Connectivity, including dedicated bandwidth, for someone considering ZENDEnterprise Ultra in USA?",Product Inquiry,Neutral
Good to know. I am within 7 days of starting ZENDFiber Home 300 Mbps in Thailand and my usage is below 10%. Can I request a full refund? Could you confirm that for me?,Refund,Happy
"I appreciate the clarification so far. For my ZENDSmart Lighting account in USA, how do I get assistance with reporting dashboards listed under IoT & Smart Solutions? I would appreciate a quick confirmation.",Technical,Happy
I would like to understand this better. Is the $80 amount for ZENDFiber Home 1 Gbps in USA part of the monthly advance billing cycle? Please let me know.,Billing,Neutral
The support provided for MPLS connectivity on ZENDBiz Connect 1G did not resolve my problem. Who can formally review this?,Complaint,Neutral
Could you clarify one point? My ZENDFleet IoT invoice in Thailand is due soon. What does the late-payment policy say after 7 days? Please let me know.,Billing,Neutral
"Could you clarify one point? Which services does ZENDS list under Cloud & Data Center Services, including dedicated enterprise support, for someone considering ZENDStorage 10TB in USA? Kindly confirm.",Product Inquiry,Neutral
I have already tried to get an answer. My support experience for SLA-backed support for enterprise customers on ZENDFiber Home 300 Mbps in Singapore has been poor. Please review this complaint. I need this resolved promptly.,Complaint,Angry
I would like to understand this better. Where can an enterprise customer using Prepaid Basic in India get technical assistance with customer support under Mobile Connectivity? Please let me know.,Technical,Neutral
I have already tried to get an answer. My support experience for file storage on ZENDArchive Storage in India has been poor. Please review this complaint. I need this resolved promptly.,Complaint,Angry
That sounds promising. Does ZENDS list mobile app management under Mobile Connectivity? I am considering Prepaid Unlimited as an individual customer in USA. I would appreciate a quick confirmation.,Product Inquiry,Happy
I am pleased with the guidance so far. Can you confirm whether the billing policy for ZENDFiber Home 100 Mbps in Thailand changes for enterprise customers? Could you confirm that for me?,Billing,Happy
This has been helpful so far. Can you confirm that ZENDFleet IoT costs $90 for an individual customer in India?,Product Inquiry,Happy
Can you confirm that Prepaid Plus costs $64 for an individual customer in Thailand?,Product Inquiry,Neutral
Could you clarify one point? I am deciding whether to keep ZENDEnterprise Dedicated in Singapore. What does ZENDS require for a full refund?,Refund,Neutral
I appreciate the clarification so far. Could you describe ZENDIndustrial Sensor and confirm whether $100 is its listed price in USA? Could you confirm that for me?,Product Inquiry,Happy
"For my ZENDIndustrial Sensor account in Thailand, how do I get assistance with device management listed under IoT & Smart Solutions?",Technical,Neutral
"Could you clarify one point? I have contacted support more than once about monitoring for ZENDCloud VM Basic in Thailand, but it remains unresolved. How can I escalate this? Please let me know.",Complaint,Neutral
Could you clarify one point? Is the $120 amount for ZENDIndustrial Sensor in USA part of the monthly advance billing cycle? Kindly confirm.,Billing,Neutral
Could you clarify one point? I need practical help with setup guidance listed under Home & Office Internet; I use ZENDOffice Net 500. Is there a recommended troubleshooting path? Kindly confirm.,Technical,Neutral
I am glad I checked this in advance. I want to understand the refund window for ZENDFleet IoT; is the usage threshold below 10%?,Refund,Happy
I would like to understand this better. I am deciding whether to keep ZENDStorage 10TB in Thailand. What does ZENDS require for a full refund?,Refund,Neutral
I need an answer about refund eligibility today. What information is relevant when requesting a refund for an individual ZENDSmart Parking service in Thailand?,Refund,Angry
I would like to understand this better. My support experience for cloud networking on ZENDStorage 10TB in Thailand has been poor. Please review this complaint.,Complaint,Neutral
Could you clarify one point? My individual ZENDFleet IoT service in India still has an unresolved sensor connectivity concern after support contact.,Complaint,Neutral
I am within 7 days of starting ZENDBiz Connect 500 in Thailand and my usage is below 10%. Can I request a full refund? Kindly confirm.,Refund,Neutral
"Could you clarify one point? Which services does ZENDS list under Business Connectivity, including monitoring add-ons, for someone considering ZENDBiz Connect 500 in Thailand? Please let me know.",Product Inquiry,Neutral
I would like to understand this better. What should I expect if payment for my Postpaid Silver service in Thailand is more than 7 days late? Kindly confirm.,Billing,Neutral
Could you clarify one point? Which ZENDS support option covers troubleshooting listed under Home & Office Internet for an individual customer using ZENDFiber Home 300 Mbps? Kindly confirm.,Technical,Neutral
Good to know. What help is available for mobile insurance under Mobile Connectivity for an enterprise customer using Postpaid Gold? I would appreciate a quick confirmation.,Technical,Happy
"I need this product information clarified. What does ZENDArchive Storage include for an enterprise customer in USA, and is its listed price $40? I need this resolved promptly.",Product Inquiry,Angry
That sounds promising. Can you confirm whether the billing policy for Prepaid Basic in Thailand changes for enterprise customers?,Billing,Happy
Please address this refund request promptly. What information is relevant when requesting a refund for an individual ZENDFiber Home 100 Mbps service in Thailand? Please respond clearly.,Refund,Angry
"I am glad someone is looking into this, but I have contacted support more than once about API integrations for ZENDCloud VM Basic in India, but it remains unresolved. How can I escalate this? I would appreciate a quick confirmation.",Complaint,Happy
I would like to understand this better. Please explain whether my ZENDBiz Connect 100 service in Thailand is eligible for a refund before the 7-day period ends. Please let me know.,Refund,Neutral
That sounds promising. I need practical help with security add-ons listed under Business Connectivity; I use ZENDEnterprise Ultra. Is there a recommended troubleshooting path? Could you confirm that for me?,Technical,Happy
Does the refund policy apply to an individual ZENDStorage 1TB account when less than 10% has been used within 7 days? Kindly confirm.,Refund,Neutral
I should not have to keep asking about this. The support provided for remote monitoring on ZENDFleet IoT did not resolve my problem. Who can formally review this?,Complaint,Angry
This has been helpful so far. Is the $80 amount for ZENDOffice Net 500 in USA part of the monthly advance billing cycle?,Billing,Happy
I would like to understand this better. I have had to report the bundled mobile plans issue on my ZENDFiber Home 1 Gbps account repeatedly. Please provide an escalation option. Please let me know.,Complaint,Neutral
"I am glad someone is looking into this, but the repeated cloud networking issue on ZENDCloud VM Pro is affecting my experience. I need a clear resolution from ZENDS.",Complaint,Happy
I am glad I checked this in advance. Does ZENDS list virtual machines under Cloud & Data Center Services? I am considering ZENDCloud VM Pro as an individual customer in USA. I would appreciate a quick confirmation.,Product Inquiry,Happy
Could you clarify one point? I am deciding whether to keep ZENDEnterprise Ultra in India. What does ZENDS require for a full refund? Please let me know.,Refund,Neutral
I am setting up ZENDFiber Home 300 Mbps and need help with router and WiFi equipment under Home & Office Internet. Where should I start?,Technical,Neutral
Please clarify the refund rule before I make a decision about my ZENDFiber Home 300 Mbps service in India. Kindly confirm.,Refund,Neutral
"I appreciate the clarification so far. For an individual customer in Thailand, how do the listed prices of Prepaid Plus ($64) and Prepaid Basic ($48) differ? Could you confirm that for me?",Product Inquiry,Happy
I am pleased with the guidance so far. Please clarify the refund rule before I make a decision about my Postpaid Silver service in USA. Could you confirm that for me?,Refund,Happy
I am glad I checked this in advance. I am considering Postpaid Platinum in India. What does this unlimited data with international calls offer to an enterprise customer?,Product Inquiry,Happy
Could you clarify one point? Where can an individual customer using Prepaid Plus in India get technical assistance with international roaming under Mobile Connectivity?,Technical,Neutral
"Could you clarify one point? Can you point me to the ZENDS support process for analytics, which is listed under IoT & Smart Solutions? I use ZENDFleet IoT. Please let me know.",Technical,Neutral
"I appreciate that this is being reviewed, but my enterprise ZENDOffice Net 500 service in Thailand still has an unresolved bundled mobile plans concern after support contact. I would appreciate a quick confirmation.",Complaint,Happy
I use Prepaid Unlimited in India. What should I check first when I need help with plan upgrades listed under Mobile Connectivity? Kindly confirm.,Technical,Neutral
"I would like to understand this better. Is ZENDFleet IoT available to an individual customer in Thailand, and what does the offering include? Kindly confirm.",Product Inquiry,Neutral
My ZENDCloud VM Enterprise cloud service is already activated. Is it non-refundable after activation even if I am within 7 days?,Refund,Neutral
I should not have to keep asking about this. The problem with setup guidance on my individual ZENDOffice Net 1G account keeps recurring. I need a formal resolution. I need this resolved promptly.,Complaint,Angry
