text,intent
"Do you offer a plan suitable for a family?",Product Inquiry
"Which ZENDS products are available in my country?",Product Inquiry
"I want to learn about your cloud services.",Product Inquiry
"What options do you have for an office network?",Product Inquiry
"Can you explain the features of the available plans?",Product Inquiry
"I am shopping for a new home internet plan.",Product Inquiry
"What services can a business get from ZENDS?",Product Inquiry
"Do you have mobile packages with roaming?",Product Inquiry
"Which broadband tier would suit a small office?",Product Inquiry
"What is included with your fiber packages?",Product Inquiry
"Please tell me about your enterprise connectivity offers.",Product Inquiry
"Are there any internet plans for remote workers?",Product Inquiry
"What products are offered for cloud infrastructure?",Product Inquiry
"I would like to compare your data plans.",Product Inquiry
"What choices are there for home WiFi?",Product Inquiry
"Can I see the available telecom services?",Product Inquiry
"What does ZENDS provide for connected devices?",Product Inquiry
"Which plan includes the features I need for international calls?",Product Inquiry
"I am interested in the services you offer before I sign up.",Product Inquiry
"What are my options for a new mobile subscription?",Product Inquiry
"Why did my bill amount increase this month?",Billing
"My monthly payment is higher than it was last month.",Billing
"Why was I charged more on my latest ZENDS invoice?",Billing
"The amount on my monthly bill has changed.",Billing
"Can you explain why my payment increased this cycle?",Billing
"My ZENDS bill shows a higher amount than usual.",Billing
"I want the money I paid returned to me.",Refund
"I want to cancel and get my payment back.",Refund
"Can I get my money back for this service?",Refund
"I no longer want the service and want a refund.",Refund
"Which ZENDS mobile plan offers international calling?",Product Inquiry
"Do you have mobile plans that include international calls?",Product Inquiry
"I want to know which mobile plans support overseas calling.",Product Inquiry
"What mobile options are available if I need international calling?",Product Inquiry
"Can you recommend a mobile plan with international calling?",Product Inquiry
"My mobile connection is failing when I try to make calls.",Technical
"I cannot make calls on my mobile connection.",Technical
"My internet connection is not working.",Technical
"My ZENDFiber connection keeps failing.",Technical
"There is a problem with my internet connection.",Technical
"How does ZENDS billing work?",Billing
"What is the ZENDS billing policy?",Billing
"How are ZENDS customers billed?",Billing
"What are the billing terms for ZENDS services?",Billing
"Can you explain how billing works?",Billing
"How does monthly billing work?",Billing
"What is the billing process at ZENDS?",Billing
"Can you explain ZENDS monthly billing?",Billing
"What should I know about ZENDS billing?",Billing
"How often will I be billed by ZENDS?",Billing
